v4	I(R2)
1,000000000000000e+000	8,845975e-011
1,000076293900000e+000	8,845957e-011
1,000152587800000e+000	8,845923e-011
1,000228881700000e+000	8,845875e-011
1,000305175600000e+000	8,846022e-011
1,000381469500000e+000	8,845931e-011
1,000457763400001e+000	8,846040e-011
1,000534057300001e+000	8,845918e-011
1,000610351200001e+000	8,845992e-011
1,000686645100001e+000	8,846048e-011
1,000762939000001e+000	8,845873e-011
1,000839232900001e+000	8,845898e-011
1,000915526800001e+000	8,845909e-011
1,000991820700001e+000	8,845903e-011
1,001068114600001e+000	8,845889e-011
1,001144408500001e+000	8,845865e-011
1,001220702400001e+000	8,846045e-011
1,001296996300001e+000	8,845994e-011
1,001373290200001e+000	8,845928e-011
1,001449584100002e+000	8,846062e-011
1,001525878000002e+000	8,845963e-011
1,001602171900002e+000	8,846061e-011
1,001678465800002e+000	8,845933e-011
1,001754759700002e+000	8,846013e-011
1,001831053600002e+000	8,846071e-011
1,001907347500002e+000	8,845902e-011
1,001983641400002e+000	8,845939e-011
1,002059935300002e+000	8,845957e-011
1,002136229200002e+000	8,845955e-011
1,002212523100002e+000	8,845936e-011
1,002288817000002e+000	8,845902e-011
1,002365110900003e+000	8,846063e-011
1,002441404800003e+000	8,845987e-011
1,002517698700003e+000	8,845894e-011
1,002593992600003e+000	8,846006e-011
1,002670286500003e+000	8,845881e-011
1,002746580400003e+000	8,845959e-011
1,002822874300003e+000	8,846018e-011
1,002899168200003e+000	8,846063e-011
1,002975462100003e+000	8,845871e-011
1,003051756000003e+000	8,845882e-011
1,003128049900003e+000	8,845878e-011
1,003204343800003e+000	8,845855e-011
1,003280637700003e+000	8,846041e-011
1,003356931600004e+000	8,846000e-011
1,003433225500004e+000	8,845948e-011
1,003509519400004e+000	8,845883e-011
1,003585813300004e+000	8,846013e-011
1,003662107200004e+000	8,845914e-011
1,003738401100004e+000	8,846022e-011
1,003814695000004e+000	8,845892e-011
1,003890988900004e+000	8,845961e-011
1,003967282800004e+000	8,846014e-011
1,004043576700004e+000	8,846052e-011
1,004119870600004e+000	8,846077e-011
1,004196164500004e+000	8,845874e-011
1,004272458400005e+000	8,845869e-011
1,004348752300005e+000	8,846066e-011
1,004425046200005e+000	8,846033e-011
1,004501340100005e+000	8,845980e-011
1,004577634000005e+000	8,845910e-011
1,004653927900005e+000	8,846045e-011
1,004730221800005e+000	8,845945e-011
1,004806515700005e+000	8,846046e-011
1,004882809600005e+000	8,845910e-011
1,004959103500005e+000	8,845975e-011
1,005035397400005e+000	8,846020e-011
1,005111691300005e+000	8,846048e-011
1,005187985200005e+000	8,846055e-011
1,005264279100006e+000	8,846044e-011
1,005340573000006e+000	8,846020e-011
1,005416866900006e+000	8,845977e-011
1,005493160800006e+000	8,845921e-011
1,005569454700006e+000	8,846061e-011
1,005645748600006e+000	8,845972e-011
1,005722042500006e+000	8,845865e-011
1,005798336400006e+000	8,845964e-011
1,005874630300006e+000	8,846048e-011
1,005950924200006e+000	8,845898e-011
1,006027218100006e+000	8,845955e-011
1,006103512000006e+000	8,846000e-011
1,006179805900006e+000	8,846030e-011
1,006256099800007e+000	8,846043e-011
1,006332393700007e+000	8,846047e-011
1,006408687600007e+000	8,846038e-011
1,006484981500007e+000	8,846013e-011
1,006561275400007e+000	8,845970e-011
1,006637569300007e+000	8,845917e-011
1,006713863200007e+000	8,846070e-011
1,006790157100007e+000	8,845991e-011
1,006866451000007e+000	8,845896e-011
1,006942744900007e+000	8,846002e-011
1,007019038800007e+000	8,845875e-011
1,007095332700007e+000	8,845948e-011
1,007171626600008e+000	8,846007e-011
1,007247920500008e+000	8,846048e-011
1,007324214400008e+000	8,846075e-011
1,007400508300008e+000	8,845870e-011
1,007476802200008e+000	8,845869e-011
1,007553096100008e+000	8,846063e-011
1,007629390000008e+000	8,846021e-011
1,007705683900008e+000	8,845961e-011
1,007781977800008e+000	8,845886e-011
1,007858271700008e+000	8,846005e-011
